SIDO_NM,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
서울특별시,롯데백화점 청량리점,4
서울특별시,일상비일상의틈,13
광주시,청와정 카페&펜션,11
김포시,한강중앙공원,1
서울특별시,올댓커피 더현대서울점,11
수원시,수수한가 행궁점,11
인천광역시,십리향,11
NaN,청계산,1
이천시,이천돌솥밥,11
구리시,구리시청,23
서울특별시,정통집 방이점,11
서울특별시,김포국제공항 국내선,9
서울특별시,명동닭한마리 시조점,11
고양시,스타필드 고양,4
가평군,힐링닭갈비,11
NaN,수원팔색길 화성성곽길,1
화성시,동탄테크노리움오피스텔,22
NaN,친구집,22
수원시,화성관광열차안내소 연무대매표소,6
수원시,수원탑동시민농장,12
화성시,롤링힐스호텔,24
서울특별시,그랜드워커힐서울 컨벤션센터,3
서울특별시,글래드 여의도,24
NaN,광명동굴,1
시흥시,이디야커피 시흥배곧신도시점,11
서울특별시,명동교자 본점,11
서울특별시,LCDC서울,4
하남시,반치앙마이,11
하남시,힐스테이트미사역그랑파사쥬오피스텔(11-1BL),22
NaN,워터플레이 수상레저,5
광명시,아브뉴프랑 광명,11
서울특별시,연하동,11
NaN,환구단,2
서울특별시,메종 키티버니포니 서울,10
NaN,화랑대철도공원,2
남양주시,언덕카페,11
수원시,수원화성 연무대 관광안내소,2
춘천시,춘천삼악산호수케이블카,6
서울특별시,안국역 3호선,9
서울특별시,도트블랭킷,11
포천시,허브아일랜드,6
NaN,잠실한강공원,1
가평군,명지반점,11
NaN,중대물빛공원,1
수원시,화성행궁광장,2
하남시,스타필드 하남,4
부산광역시,대운이엔지주유소,10
서울특별시,용산베르디움프렌즈아파트,22
서울특별시,금융감독원,7
NaN,조은분식(박미숙),11
과천시,과천자이아파트,22
가평군,카페모굴,11
인천광역시,폴바셋 송도트리플스트리트점,11
서울특별시,로파 서울,10
인천광역시,써브웨이 인천송도트리플스트리트점,11
광주시,경기도남한산성세계유산센터,2
인천광역시,청년다방 인천삼산점,11
NaN,노원문화의거리,4
수원시,정지영커피로스터즈 화홍문점,11
서울특별시,우성2차아파트,21
김포시,카페시차,1
평택시,영빈루,11
고양시,퀸타운호텔,24
시흥시,오이도명물등대빵,11
양평군,양평광탄1991고바우설렁탕,11
NaN,오산공군기지,12
서울특별시,잠실종합운동장 실내체육관,5
서울특별시,까르보마마,11
수원시,스시한판 수원점,11
서울특별시,무교동유정낙지 본점,11
서울특별시,국립현대미술관 서울관,3
NaN,화서공원,2
NaN,소풍정원 캠핑장,1
서울특별시,매니베리머치,10
가평군,어텐디드가든카페,11
서울특별시,청량리역,9
서울특별시,래미안솔베뉴아파트,21
강릉시,오리둥지 선물가게,10
NaN,광안역 집,21
포천시,낙천지,1
가평군,청평K 숯불닭갈비막국수,11
NaN,명동거리,4
NaN,낙생대공원,1
서울특별시,선인상가,10
서울특별시,양재동꽃시장,4
서울특별시,투썸플레이스 마포공덕점,11
서울특별시,신세계백화점 본점,4
서울특별시,남산케이블카,6
NaN,서울특별시 광진구 광장동 워커힐 가는 산책로,7
인천광역시,소래역사관,2
안산시,구봉양식장,11
서울특별시,도마 인사점,11
의정부시,미도인 의정부역점,11
서울특별시,가배도 명동점,11
가평군,가평군농협하나로마트 본점,10
수원시,수원화성 국궁체험장,13
의정부시,축석주유소,10
안양시,훼미리사우나파크,24
여주시,토종순대가,11
서울특별시,서울식물원 식물문화센터,3
서울특별시,JW메리어트동대문스퀘어서울 타볼로24,11
의정부시,의정부음악도서관,3
서울특별시,정남옥,11
수원시,화성행궁,2
김포시,김포아트빌리지,3
서울특별시,온더보더 광화문D타워점,11
인천광역시,월미테마파크,6
수원시,AK플라자 AKTown점,4
수원시,최미삼순대국 고색점,11
NaN,군웅숲,13
가평군,이화촌펜션,24
NaN,인천차이나타운,4
NaN,수원화성,2
서울특별시,동작구민체육센터,5
안양시,파리바게뜨 성결대사거리점,10
수원시,생어거스틴 광교아브뉴프랑점,11
서울특별시,루미아호텔,24
수원시,강남면옥 수원점,11
안양시,무궁화경남아파트,21
서울특별시,롯데마트 제타플렉스,4
서울특별시,그랜드워커힐서울 더뷔페,11
서울특별시,스타벅스 명동길점,11
의정부시,의정부역 1호선,9
NaN,탭,10
NaN,인천환경공단 송도스포츠파크 캠핑장,24
서울특별시,L7 강남,24
서울특별시,바이러닉 에스프레소바 합정본점,11
가평군,해밀펜션,24
NaN,광화문광장,7
서울특별시,예그린하우스,22
인천광역시,은영아파트,24
수원시,GS25 서수원자이점,10
서울특별시,연세대학교 신촌캠퍼스,12
서울특별시,지구샵 연남점,10
서울특별시,AK& 홍대,4
서울특별시,신세계센트럴시티,4
수원시,배부장찌개 광교법조단지점,4
인천광역시,부평문화의거리,4
서울특별시,이룸웨딩컨벤션,12
인천광역시,베스트웨스턴 하버파크호텔,24
서울특별시,가장맛있는족발 등촌역점,11
광명시,광명역,9
서울특별시,흥인지문.광장시장,4
성남시,아트스페이스J,3
양평군,두물머리연핫도그,11
서울특별시,흥인지문공원,1
인천광역시,월미바다역,9
