SIDO_NM
인천광역시
NaN
수원시
고양시
양평군
서울특별시
포천시
가평군
성남시
용인시
부천시
부산광역시
파주시
대구광역시
광주광역시
문경시
여주시
음성군
제주특별자치도
청주시
경주시
시흥시
안산시
평창군
강릉시
공주시
횡성군
양주시
창원시
구리시
순천시
구미시
대전광역시
이천시
화성시
남양주시
광주시
안성시
익산시
광명시
과천시
춘천시
연천군
의정부시
강진군
나주시
영암군
오산시
논산시
인제군
태백시
완주군
홍천군
금산군
진주시
김포시
충주시
평택시
의왕시
아산시
울산광역시
안양시
원주시
괴산군
김해시
양산시
하남시
동두천시
군포시
포항시
천안시
제천시
목포시
여수시
동해시
삼척시
속초시
상주시
전주시
철원군
당진시
홍성군
정읍시
부여군
옥천군
경산시
칠곡군
양양군
군산시
안동시
의성군
함평군
군위군
서산시
태안군
서천군
부안군
완도군
진도군
계룡시
성주군
장흥군
거제시
영월군
울릉군
김천시
영천시
진천군
양산
증평군
함안군
단양군
장성군
영주시
예천군
통영시
청도군
밀양시
영덕군
정선군
남해군
봉화군
고성군
영양군
청송군
울진군
합천군
하동군
산청군
사천시
무주군
함양군
담양군
광양시
김제시
장수군
창녕군
보은군
남원시
화천군
예산군
곡성군
구례군
보령시
거창군
양구군
의령군
청양군
고령군
고흥군
보성군
진안군
해남군
영동군
고창군
임실군
신안군
화순군
무안군
영광군
순창군
